Rede,Nome Fantasia,Logradouro,Complemento,Bairro,Cep,Ddd,Telefone,Uf,Municipio,DtAbertura,DtFechamento,CodUnidade,Cnpj,Categoria,Classificação,Fonte,Cnes,Latitude,Longitude
Uptime,UNIDADE VENÂNCIO AIRES,Rua 15 de novembro 1158  ,,CENTRO ,95800000,51,37419286,RS,VENANCIO AIRES,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - PAMPULHA,Avenida Coronel José Dias Bicalho   ,,São José (Pampulha,31275050,31,34914722,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - CORAÇÃO EUCARISTICO,Rua Dom Prudencio Gomes 610  ,,Coração Eucaristico,30535580,31,33757214,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - BELVEDERE,Estrada de Nova Lima 385  ,,Belvedere,30320760,31,32861688,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE CAMPOS DOS GOYTACAZES,Avenida Vinte e Oito de Março 558  ,,Centro,28020740,22,27251733,RJ,Campos dos Goytacazes,,,,,Ensino,,,,,
Uptime,UPTIME BH - Raja Gabaglia - U.N.,"Avenida Raja Gabaglia, 2636",,Bairro Estoril,30494-170,31,3218-2600,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE LAJEADO,Rua São Pedro - até 219220 49  3º Andar,,Florestal ,95900706,51,37263583,RS,Lajeado,,,,,Ensino,,,,,
Uptime,UNIDADE PASSO FUNDO,Rua Benjamin Constant 339  ,,Centro,99010130,54,36014590,RS,Passo Fundo,,,,,Ensino,,,,,
Uptime,UNIDADE PORTO ALEGRE - FLORESTA,Av. Cristovão Colombo 1787  casa,,Floresta,90560003,51,32730901,RS,Porto Alegre,,,,,Ensino,,,,,
Uptime,UNIDADE PORTO ALEGRE - CRISTO REDENTOR,Rua Dom Diogo de Souza 493  ,,Cristo Redentor,91350000,51,33075006,RS,Porto Alegre,,,,,Ensino,,,,,
Uptime,UNIDADE NOVO HAMBURGO,Rua Carlos Gomes 112  ,,Vila Rosa,93315040,51,30365157,RS,Novo Hamburgo,,,,,Ensino,,,,,
Uptime,LCU - MG,Rua Sergipe 779  ,,Funcionários,30130171,31,32252307,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE PORTO ALEGRE - CAVALHADA,Avenida da Cavalhada 3018  ,,Cavalhada,91740000,51,30621657,RS,Porto Alegre,,,,,Ensino,,,,,
Uptime,UNIDADE CAMPO GRANDE,Rua Abrão Júlio Rahe 2051  ,,Centro,79020190,67,30446074,MS,Campo Grande,,,,,Ensino,,,,,
Uptime,UNIDADE BARBACENA - CENTRO,Praça Conde de Prados 146  ,,Centro,36200104,32,33313393,MG,Barbacena,,,,,Ensino,,,,,
Uptime,UNIDADE BELO HORIZONTE - BARREIRO,Rua Honório Hermeto 140  ,,Barreiro,30640110,31,33844449,MG,Belo Horizonte,,,,,Ensino,,,,,
Uptime,UNIDADE GRAVATAÍ,Rua Coronel Sarmento 1295  ,,CENTRO ,94010031,51,31272222,RS,Gravataí,,,,,Ensino,,,,,
Uptime,UNIDADE CANOAS,Rua Pedro Weingartner 151  ,,Centro,92310100,51,30597696,RS,Canoas,,,,,Ensino,,,,,
Uptime,UNIDADE CAXIAS DO SUL,Rua Vereador Mário Pezzi 695  ,,Exposição,95084180,54,35380014,RS,Caxias do Sul,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO JOSÉ ,Rua Jomilda Camargo da Cunha 293  loja 02,,Kobrasol,88102320,48,30945572,SC,São José,,,,,Ensino,,,,,
Uptime,UNIDADE JI-PARANÁ,AV: Transcontinental 959  ,,Centro,76900091,69,34225750,RO,Ji-Paraná,,,,,Ensino,,,,,
Uptime,UNIDADE TAUBATÉ,Rua Barão da Pedra Negra 370  ,,Centro,12020220,12,34245823,SP,Taubaté,,,,,Ensino,,,,,
Uptime,UNIDADE CRICIÚMA ,Rua Cecília Daros Casagrande 31  ,,Comerciário,88802400,48,34378140,SC,Criciúma,,,,,Ensino,,,,,
Uptime,UNIDADE FLORIANÓPOLIS - TRINDADE,Rua Lauro Linhares 933  ,,Trindade,88036002,48,33078007,SC,Florianópolis,,,,,Ensino,,,,,
Uptime,UNIDADE ARACAJU,Avenida Augusto Maynard 209  ,,São José,49015380,79,32111346,SE,Aracaju,,,,,Ensino,,,,,
Uptime,UNIDADE BENTO GONÇALVES,Ramiro Barcelos 423  Terreo,,Centro,95700074,54,37011236,RS,Bento Gonçalves,,,,,Ensino,,,,,
Uptime,UNIDADE BLUMENAU,R ENGENHEIRO PAUL WERNER 75  sala 01,,ITOUPAVA SECA,89030100,47,30410300,SC,BLUMENAU,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO JOSÉ DOS CAMPOS,Rua Nassau 21  ,,Vila Rubi,12245591,12,39428497,SP,São José dos Campos,,,,,Ensino,,,,,
Uptime,UNIDADE JOINVILLE,Max Colin 210   ,, América,89204040,47,30280852,SC,Joinville,,,,,Ensino,,,,,
Uptime,UNIDADE SÃO JOÃO DA BOA VISTA,Av. Doutor Oscar Pirajá Martins 185  ,,Jd. Santo André,13874000,19,36313684,SP,São João da Boa Vista,,,,,Ensino,,,,,
